no_data,no_pasien,sig_mean,sig_var,sig_sd,sig_kurt,sig_skew,sig_centroid,sig_specent,psd_mean,psd_var,psd_sd,psd_kurt,psd_skew,rat_delta,rat_theta,rat_alpha,rat_beta,kelas
1,1,5.09E-07,6.05E-10,2.46E-05,3.539245399,0.130818733,12.94590108,0.680836713,-121.4812047,85.62997901,9.253646795,0.113777464,0.213350155,0.463473046,0.220914108,0.119481711,0.196131135,0
2,1,-6.87E-07,1.17E-09,3.42E-05,3.862279084,0.14947143,8.296349964,0.652712226,-120.2550245,100.5587104,10.02789661,0.242159932,0.009481636,0.532726169,0.21426785,0.107117741,0.14588824,0
3,1,4.92E-07,1.73E-10,1.31E-05,-0.595250046,0.12599074,11.23559434,0.699905984,-122.6523937,81.75686197,9.04195012,0.821319445,0.008385432,0.418551696,0.17214563,0.172125952,0.237176722,0
4,1,7.75E-07,9.00E-10,3.00E-05,2.956959713,1.019488169,9.462122194,0.639787175,-120.2913777,119.5513418,10.93395362,0.322863869,0.797605982,0.559193903,0.187589526,0.114349131,0.13886744,0
5,1,-7.74E-07,4.20E-10,2.05E-05,1.18335161,-0.011813375,9.271896703,0.694293006,-119.4004679,93.83820616,9.687012241,-0.00574322,0.404970928,0.456859078,0.211659416,0.140710312,0.190771195,0
6,1,6.85E-07,3.91E-10,1.98E-05,5.807121017,1.218798971,10.18717827,0.683535931,-122.1115779,112.5045349,10.60681549,-0.02350709,0.587585231,0.497859341,0.201901867,0.142152085,0.158086707,0
7,1,-2.33E-08,1.56E-10,1.25E-05,3.682090219,1.004685816,12.78936961,0.663700545,-119.056269,48.67879193,6.977018843,0.088288818,-0.070050162,0.372768884,0.14049891,0.141294342,0.345437864,0
8,1,-2.54E-08,6.75E-10,2.60E-05,4.502039755,0.881088105,15.95150248,0.64413883,-117.6049141,98.62267072,9.930894759,0.857734673,0.28154468,0.481345453,0.168973494,0.108176438,0.241504615,0
9,1,-5.87E-07,6.57E-10,2.56E-05,5.888331368,1.406343806,10.79932513,0.647679241,-120.0892366,60.8869405,7.803008426,1.693964726,0.148244262,0.487636255,0.184883445,0.104144249,0.223336051,0
10,1,5.29E-07,2.54E-10,1.59E-05,15.46050189,2.180591732,14.77553972,0.65943938,-120.0792327,81.98467523,9.05453893,0.133492502,0.621143309,0.473560009,0.176161231,0.119903524,0.230375236,0
11,1,-1.78E-07,7.08E-10,2.66E-05,5.465876689,0.100689732,11.01866937,0.551535562,-121.1213828,126.144874,11.23142351,0.940994581,0.801282761,0.621636675,0.108720284,0.098139087,0.171503954,0
12,1,-1.22E-06,4.70E-10,2.17E-05,4.391289437,0.927818685,10.57483199,0.645546818,-121.2373965,100.9433335,10.04705596,0.216230197,0.793478977,0.512790783,0.190407715,0.104980132,0.191821369,0
13,1,5.27E-07,8.01E-10,2.83E-05,4.645326608,-0.554141205,9.347978089,0.63409502,-122.2255131,101.7308595,10.0861717,0.431279358,0.51798293,0.553287175,0.157168192,0.125746405,0.163798228,0
14,1,1.95E-06,1.29E-09,3.59E-05,2.531227307,1.116311413,8.640830091,0.620578704,-120.6894751,103.1003701,10.15383524,0.726462668,0.988280237,0.569934241,0.181948117,0.099665673,0.148451969,0
15,1,-1.28E-06,7.26E-10,2.70E-05,5.120610483,-0.045139589,7.372289348,0.57857684,-122.7827209,125.1821749,11.18848403,0.723611615,0.763699009,0.609804272,0.143716985,0.093561678,0.152917065,0
